Site,Location,Days_Exposure,Avg_Temp,t_Degree_Days,Bioassay,Mesh,X0_R1,Xt_R1,X0_R2,Xt_R2,X0_R3,Xt_R3,X0_R4,Xt_R4,k_R1,k_R2,k_R3,k_R4,mean_k
1,Downstream,21,12.00655238,252.1376,Oak,Fine,4.952,4.053,5.017,4.106,5.009,4.067,5.023,4.471,0.000794542,0.000794735,0.000826257,0.000461713,0.000719311
2,Downstream,21,12.6875,266.4375,Oak,Fine,5.008,3.729,4.982,4.001,5.002,3.831,4.939,3.678,0.001106811,0.000823032,0.001001028,0.001106425,0.001009324
3,Downstream,21,13.57648221,285.1061265,Oak,Fine,4.994,3.926,5.049,3.902,4.959,3.759,5.01,4.109,0.000843953,0.000903878,0.000971748,0.000695377,0.000853739
4,Downstream,21,13.36699605,280.706917,Oak,Fine,4.936,3.945,5.002,4.083,5.086,4.005,4.997,3.941,0.000798364,0.000723195,0.000851237,0.000845733,0.000804632
5,Downstream,21,12.00655238,252.1376,Oak,Fine,5.049,4.062,4.976,4.325,4.924,3.989,4.988,4.167,0.000862681,0.000556101,0.00083518,0.000713255,0.000741804
6,Enclosure,21,12.11660079,254.4486166,Oak,Fine,5.014,4.408,5.083,4.373,5.035,4.407,5.068,4.561,0.000506243,0.000591287,0.00052356,0.000414246,0.000508834
7,Enclosure,21,12.79319149,268.6570213,Oak,Fine,5.042,4.501,5.032,4.601,4.933,4.572,4.999,4.71,0.000422484,0.000333302,0.000282876,0.000221658,0.00031508
8,Enclosure,21,11.89782609,249.8543478,Oak,Fine,4.993,4.509,4.923,4.514,4.953,4.511,5.065,4.524,0.000408084,0.00034714,0.000374117,0.000452094,0.000395359
9,Enclosure,21,13.02588933,273.5436759,Oak,Fine,5.05,4.397,4.995,4.379,4.97,4.365,5.025,4.385,0.000506192,0.000481155,0.000474518,0.00049804,0.000489976
10,Enclosure,21,12.76600791,268.086166,Oak,Fine,4.953,4.106,4.973,4.122,5.009,4.079,4.972,4.041,0.000699567,0.000700092,0.000766114,0.000773371,0.000734786
11,Control,21,12.31264822,258.5656126,Oak,Fine,4.973,3.939,5.021,3.944,5.036,4.005,5.005,3.902,0.000901497,0.000933741,0.000885919,0.000962803,0.00092099
12,Control,21,12.23636364,256.9636364,Oak,Fine,4.979,4.159,5.015,4.181,5.005,4.22,4.984,4.205,0.00070031,0.000707815,0.000663915,0.00066141,0.000683362
13,Control,21,13.62667984,286.1602767,Oak,Fine,5.003,4.352,4.992,4.351,4.986,4.247,5.061,4.218,0.000487148,0.000480259,0.000560599,0.000636717,0.000541181
14,Control,21,18.2243083,382.7104743,Oak,Fine,4.987,4.302,4.974,4.159,4.975,4.231,5.016,4.183,0.000386074,0.000467586,0.000423263,0.000474521,0.000437861
15,Control,21,9.404150198,197.4871542,Oak,Fine,5.046,4.257,5.003,4.166,4.977,4.074,5.006,4.174,0.000860974,0.000927055,0.001013748,0.000920376,0.000930538
1,Downstream,21,12.00655238,252.1376,Oak,Coarse,4.933,3.572,5.099,3.898,5.005,3.549,5.049,3.579,0.001280337,0.001065214,0.001363426,0.001364756,0.001268433
2,Downstream,21,12.6875,266.4375,Oak,Coarse,5.065,1.201,5.049,1.387,4.942,1.518,4.99,2.043,0.00540163,0.004849335,0.004430211,0.003351686,0.004508215
3,Downstream,21,13.57648221,285.1061265,Oak,Coarse,4.957,0.989,5.093,1.055,5.053,1.299,5.009,1.945,0.005653552,0.005521898,0.004764499,0.003317974,0.004814481
4,Downstream,21,13.36699605,280.706917,Oak,Coarse,4.98,3.013,4.969,1.911,5.097,1.872,5.071,2.189,0.0017901,0.003404233,0.003568293,0.002992776,0.00293885
5,Downstream,21,12.00655238,252.1376,Oak,Coarse,5.099,3.464,5.011,1.998,5.002,1.964,5.016,2.168,0.001533368,0.003646768,0.00370771,0.00332686,0.003053677
6,Enclosure,21,12.11660079,254.4486166,Oak,Coarse,5.045,4.024,5.034,4.082,5.062,4.102,4.978,4.099,0.00088867,0.00082385,0.000826441,0.000763552,0.000825628
7,Enclosure,21,12.79319149,268.6570213,Oak,Coarse,5.059,4.11,5.073,4.219,4.987,4.052,4.984,3.517,0.000773275,0.000686132,0.000772822,0.001297656,0.000882471
8,Enclosure,21,11.89782609,249.8543478,Oak,Coarse,5.037,4.077,5.055,3.946,4.957,4.242,5.027,3.697,0.000846291,0.000991281,0.000623428,0.001229925,0.000922731
9,Enclosure,21,13.02588933,273.5436759,Oak,Coarse,4.947,3.892,4.983,3.929,5.042,3.885,4.997,3.889,0.000876854,0.000868771,0.000952972,0.000916436,0.000903759
10,Enclosure,21,12.76600791,268.086166,Oak,Coarse,5.09,3.518,5.092,1.702,5.006,1.111,4.961,2.019,0.001377861,0.004087743,0.005615275,0.00335342,0.003608575
11,Control,21,12.31264822,258.5656126,Oak,Coarse,5.002,2.104,4.952,2.227,4.971,2.935,4.964,2.394,0.003349232,0.003090647,0.00203783,0.002820349,0.002824514
12,Control,21,12.23636364,256.9636364,Oak,Coarse,4.992,3.489,4.926,2.558,4.935,3.068,4.965,3.899,0.001394053,0.002550169,0.00184978,0.000940572,0.001683643
