Site,Location,Bioassay,Replicate,k,C_N
1,Downstream,Oak,R1,0.000794542,25.5
1,Downstream,Oak,R2,0.000794735,25.5
1,Downstream,Oak,R3,0.000826257,25.5
1,Downstream,Oak,R4,0.000461713,25.5
2,Downstream,Oak,R1,0.001106811,25.5
2,Downstream,Oak,R2,0.000823032,25.5
2,Downstream,Oak,R3,0.001001028,25.5
2,Downstream,Oak,R4,0.001106425,25.5
3,Downstream,Oak,R1,0.000843953,25.5
3,Downstream,Oak,R2,0.000903878,25.5
3,Downstream,Oak,R3,0.000971748,25.5
3,Downstream,Oak,R4,0.000695377,25.5
4,Downstream,Oak,R1,0.000798364,25.5
4,Downstream,Oak,R2,0.000723195,25.5
4,Downstream,Oak,R3,0.000851237,25.5
4,Downstream,Oak,R4,0.000845733,25.5
5,Downstream,Oak,R1,0.000862681,25.5
5,Downstream,Oak,R2,0.000556101,25.5
5,Downstream,Oak,R3,0.00083518,25.5
5,Downstream,Oak,R4,0.000713255,25.5
6,Enclosure,Oak,R1,0.000506243,25.5
6,Enclosure,Oak,R2,0.000591287,25.5
6,Enclosure,Oak,R3,0.00052356,25.5
6,Enclosure,Oak,R4,0.000414246,25.5
7,Enclosure,Oak,R1,0.000422484,25.5
7,Enclosure,Oak,R2,0.000333302,25.5
7,Enclosure,Oak,R3,0.000282876,25.5
7,Enclosure,Oak,R4,0.000221658,25.5
8,Enclosure,Oak,R1,0.000408084,25.5
8,Enclosure,Oak,R2,0.00034714,25.5
8,Enclosure,Oak,R3,0.000374117,25.5
8,Enclosure,Oak,R4,0.000452094,25.5
9,Enclosure,Oak,R1,0.000506192,25.5
9,Enclosure,Oak,R2,0.000481155,25.5
9,Enclosure,Oak,R3,0.000474518,25.5
9,Enclosure,Oak,R4,0.00049804,25.5
10,Enclosure,Oak,R1,0.000699567,25.5
10,Enclosure,Oak,R2,0.000700092,25.5
10,Enclosure,Oak,R3,0.000766114,25.5
10,Enclosure,Oak,R4,0.000773371,25.5
11,Control,Oak,R1,0.000901497,25.5
11,Control,Oak,R2,0.000933741,25.5
11,Control,Oak,R3,0.000885919,25.5
11,Control,Oak,R4,0.000962803,25.5
12,Control,Oak,R1,0.00070031,25.5
12,Control,Oak,R2,0.000707815,25.5
12,Control,Oak,R3,0.000663915,25.5
12,Control,Oak,R4,0.00066141,25.5
13,Control,Oak,R1,0.000487148,25.5
13,Control,Oak,R2,0.000480259,25.5
13,Control,Oak,R3,0.000560599,25.5
13,Control,Oak,R4,0.000636717,25.5
14,Control,Oak,R1,0.000386074,25.5
14,Control,Oak,R2,0.000467586,25.5
14,Control,Oak,R3,0.000423263,25.5
14,Control,Oak,R4,0.000474521,25.5
15,Control,Oak,R1,0.000860974,25.5
15,Control,Oak,R2,0.000927055,25.5
15,Control,Oak,R3,0.001013748,25.5
15,Control,Oak,R4,0.000920376,25.5
1,Downstream,Wettex,R1,0.000688792,18.8
1,Downstream,Wettex,R2,0.00018636,18.8
1,Downstream,Wettex,R3,0.000445052,18.8
1,Downstream,Wettex,R4,0.000147369,18.8
2,Downstream,Wettex,R1,0.000780263,18.8
2,Downstream,Wettex,R2,0.000522327,18.8
2,Downstream,Wettex,R3,0.000284301,18.8
2,Downstream,Wettex,R4,0.000707127,18.8
3,Downstream,Wettex,R1,0.000342501,18.8
3,Downstream,Wettex,R2,0.000320381,18.8
3,Downstream,Wettex,R3,0.000192036,18.8
3,Downstream,Wettex,R4,0.000491433,18.8
4,Downstream,Wettex,R1,0.000681774,18.8
4,Downstream,Wettex,R2,0.00066238,18.8
4,Downstream,Wettex,R3,0.000851964,18.8
4,Downstream,Wettex,R4,0.000660622,18.8
5,Downstream,Wettex,R1,0.000576312,18.8
5,Downstream,Wettex,R2,0.00164403,18.8
5,Downstream,Wettex,R3,0.000981669,18.8
5,Downstream,Wettex,R4,0.000880944,18.8
