Site,Location,Bioassay,Replicate,k,Adult_gammarus,Juvenile_gammarus,Xt,X0
1,Downstream,Oak,R1,0.001280337,5,8,3.572,4.933
1,Downstream,Oak,R2,0.001065214,3,7,3.898,5.099
1,Downstream,Oak,R3,0.001363426,3,6,3.549,5.005
1,Downstream,Oak,R4,0.001364756,15,7,3.579,5.049
2,Downstream,Oak,R1,0.00540163,8,8,1.201,5.065
2,Downstream,Oak,R2,0.004849335,22,12,1.387,5.049
2,Downstream,Oak,R3,0.004430211,20,17,1.518,4.942
2,Downstream,Oak,R4,0.003351686,10,15,2.043,4.99
3,Downstream,Oak,R1,0.005653552,12,13,0.989,4.957
3,Downstream,Oak,R2,0.005521898,20,22,1.055,5.093
3,Downstream,Oak,R3,0.004764499,16,21,1.299,5.053
3,Downstream,Oak,R4,0.003317974,9,6,1.945,5.009
4,Downstream,Oak,R1,0.0017901,22,10,3.013,4.98
4,Downstream,Oak,R2,0.003404233,46,21,1.911,4.969
4,Downstream,Oak,R3,0.003568293,49,18,1.872,5.097
4,Downstream,Oak,R4,0.002992776,55,16,2.189,5.071
5,Downstream,Oak,R1,0.001533368,2,4,3.464,5.099
5,Downstream,Oak,R2,0.003646768,47,10,1.998,5.011
5,Downstream,Oak,R3,0.00370771,23,9,1.964,5.002
5,Downstream,Oak,R4,0.00332686,36,16,2.168,5.016
6,Enclosure,Oak,R1,0.00088867,37,29,4.024,5.045
6,Enclosure,Oak,R2,0.00082385,9,5,4.082,5.034
6,Enclosure,Oak,R3,0.000826441,6,3,4.102,5.062
6,Enclosure,Oak,R4,0.000763552,34,15,4.099,4.978
7,Enclosure,Oak,R1,0.000773275,3,2,4.11,5.059
7,Enclosure,Oak,R2,0.000686132,3,3,4.219,5.073
7,Enclosure,Oak,R3,0.000772822,1,2,4.052,4.987
7,Enclosure,Oak,R4,0.001297656,8,5,3.517,4.984
8,Enclosure,Oak,R1,0.000846291,1,1,4.077,5.037
8,Enclosure,Oak,R2,0.000991281,2,0,3.946,5.055
8,Enclosure,Oak,R3,0.000623428,2,0,4.242,4.957
8,Enclosure,Oak,R4,0.001229925,8,6,3.697,5.027
9,Enclosure,Oak,R1,0.000876854,2,0,3.892,4.947
9,Enclosure,Oak,R2,0.000868771,0,1,3.929,4.983
9,Enclosure,Oak,R3,0.000952972,0,0,3.885,5.042
9,Enclosure,Oak,R4,0.000916436,0,0,3.889,4.997
10,Enclosure,Oak,R1,0.001377861,13,8,3.518,5.09
10,Enclosure,Oak,R2,0.004087743,24,12,1.702,5.092
10,Enclosure,Oak,R3,0.005615275,43,19,1.111,5.006
10,Enclosure,Oak,R4,0.00335342,55,22,2.019,4.961
